Date,Price,Open,High,Low,Vol.,Change %
2023-01-01,"3,481.55","3,482.42","3,483.83","3,474.35",71.16K,
2023-01-02,"3,427.39","3,430.42","3,435.97","3,422.15",759.30K,
2023-01-03,"3,241.32","3,245.80","3,246.44","3,231.99",999.66K,
2023-01-04,"3,187.00","3,196.01","3,193.34","3,179.61",114.47K,
2023-01-05,"2,897.73","2,899.65","2,894.46","2,888.71",478.08K,
2023-01-06,"2,909.73","2,901.61","2,918.16","2,901.26",535.25K,
2023-01-06,"3,396.17","3,396.50","3,407.82","3,387.23",337.73K,
2023-01-08,"3,471.56","3,466.58","3,467.84","3,462.05",379.65K,
2023-01-09,"3,488.05","3,487.21","3,493.43","3,478.48",386.35K,
2023-01-10,"3,408.62","3,416.97","3,406.54","3,398.80",83.73K,
2023-01-11,"3,007.48","3,005.87","3,013.00","3,000.33",645.44K,
2023-01-12,"3,199.00","3,204.60","3,210.42","3,190.92",724.43K,
2023-01-13,"3,269.92","3,267.23","3,283.61","3,262.96",947.34K,
2023-01-14,"2,934.99","2,936.28","2,938.65","2,925.31",287.32K,
2023-01-15,"3,117.79","3,112.89","3,120.03","3,110.40",777.92K,
2023-01-16,"3,237.28","3,231.91","3,237.00","3,227.50",673.49K,
2023-01-16,"3,454.96","3,460.60","3,465.68","3,449.30",849.02K,
2023-01-18,"3,418.72","3,409.96","3,423.37","3,411.83",753.06K,
2023-01-19,"2,931.66","2,941.56","2,936.89","2,922.77",766.38K,
2023-01-20,"3,272.46","3,279.04","3,279.36","3,267.45",113.31K,
2023-01-21,"3,289.02","3,283.27","3,297.46","3,279.77",922.23K,
2023-01-22,"3,333.00","3,336.32","3,334.08","3,325.54",309.18K,
2023-01-23,"3,250.75","3,253.00","3,248.20","3,241.23",255.44K,
2023-01-24,"3,187.50","3,196.71","3,192.47","3,180.12",295.09K,
2023-01-25,"3,072.85","3,071.76","3,085.73","3,064.48",184.40K,
2023-01-26,"3,061.60","3,067.36","3,070.16","3,056.16",80.42K,
2023-01-26,"2,944.09","2,939.87","2,956.91","2,937.61",477.75K,
2023-01-28,"3,385.75","3,379.63","3,394.84","3,380.25",822.85K,
2023-01-29,"2,897.93","2,903.41","2,894.27","2,891.67",725.87K,
2023-01-30,"3,105.82","3,100.35","3,104.65","3,098.72",637.66K,
2023-01-31,"3,048.51","3,055.51","3,048.14","3,042.51",183.42K,
2023-02-01,"3,182.63","3,187.00","3,181.20","3,174.70",280.43K,
2023-02-02,"3,397.86","3,406.75","3,395.18","3,390.26",988.80K,
2023-02-03,"3,452.39","3,450.55","3,465.28","3,443.54",242.28K,
2023-02-04,"3,453.20","3,455.12","3,466.07","3,447.01",533.18K,
2023-02-05,"2,952.04","2,943.88","2,956.09","2,946.86",155.32K,
2023-02-06,"3,151.34","3,148.98","3,150.72","3,141.44",338.18K,
2023-02-06,"3,407.58","3,416.53","3,413.42","3,400.51",569.11K,
2023-02-08,"3,056.75","3,050.65","3,055.11","3,047.27",496.67K,
2023-02-09,"3,208.07","3,202.42","3,214.11","3,202.94",14.13K,
2023-02-10,"3,214.00","3,210.75","3,209.75","3,208.89",161.61K,
2023-02-11,"2,999.51","3,002.30","3,010.36","2,994.08",316.99K,
2023-02-12,"3,191.82","3,193.23","3,206.17","3,183.08",84.42K,
2023-02-13,"3,279.70","3,280.81","3,290.93","3,274.31",435.04K,
2023-02-14,"3,459.28","3,455.33","3,455.03","3,452.40",245.51K,
2023-02-15,"3,287.62","3,288.61","3,288.53","3,280.24",881.49K,
2023-02-16,"3,052.08","3,046.91","3,059.40","3,046.74",680.33K,
2023-02-16,"3,411.27","3,403.86","3,424.93","3,401.39",886.50K,
2023-02-18,"3,145.97","3,154.02","3,148.80","3,138.36",66.47K,
2023-02-19,"2,883.67","2,882.67","2,896.50","2,873.70",895.86K,
2023-02-20,"3,391.16","3,387.14","3,401.76","3,383.56",64.59K,
2023-02-21,"3,250.53","3,258.32","3,261.62","3,241.02",77.60K,
2023-02-22,"3,317.68","3,316.33","3,331.28","3,311.62",201.85K,
2023-02-23,"3,368.47","3,364.25","3,364.60","3,360.16",705.97K,
2023-02-24,"3,007.43","3,006.41","3,015.12","3,001.20",334.20K,
2023-02-25,"3,315.73","3,319.11","3,311.68","3,310.33",333.44K,
2023-02-26,"3,404.62","3,413.70","3,411.26","3,398.00",245.07K,
2023-02-26,"3,338.64","3,332.28","3,350.89","3,332.64",620.03K,
2023-02-28,"3,020.79","3,011.07","3,017.92","3,014.53",757.75K,
2023-03-01,"3,140.43","3,132.22","3,146.58","3,130.96",16.60K,
2023-03-02,"3,452.06","3,461.17","3,464.71","3,443.97",493.56K,
2023-03-03,"2,880.92","2,879.18","2,889.78","2,873.28",476.50K,
2023-03-04,"3,209.44","3,202.10","3,215.53","3,200.57",977.05K,
2023-03-05,"3,008.52","3,006.18","3,015.73","3,002.99",617.37K,
2023-03-06,"3,320.13","3,310.63","3,321.86","3,313.46",705.84K,
2023-03-06,"3,451.46","3,454.71","3,452.07","3,445.20",159.56K,
2023-03-08,"2,976.57","2,966.64","2,976.04","2,969.72",446.54K,
2023-03-09,"3,240.75","3,245.49","3,248.66","3,234.02",416.63K,
2023-03-10,"3,042.12","3,038.70","3,050.41","3,036.13",896.50K,
2023-03-11,"3,121.57","3,120.61","3,119.73","3,113.87",169.35K,
2023-03-12,"2,898.64","2,903.19","2,911.92","2,888.75",496.88K,
2023-03-13,"3,323.73","3,320.92","3,325.06","3,314.34",511.60K,
2023-03-14,"3,112.91","3,120.67","3,114.28","3,105.92",249.73K,
2023-03-15,"3,405.66","3,404.09","3,410.13","3,396.74",747.57K,
2023-03-16,"3,045.33","3,044.23","3,042.26","3,036.07",177.33K,
2023-03-16,"3,255.50","3,247.68","3,259.80","3,247.57",794.98K,
2023-03-18,"2,991.38","2,998.50","2,988.06","2,982.17",164.99K,
